alchemist_acid_spray,Acid Spray
npc_dota_neutral_black_dragon,Black Dragon
npc_dota_neutral_black_drake,Black Drake
npc_dota_neutral_blue_dragonspawn_overseer,BLue Dragonspawn Overseer
npc_dota_neutral_blue_dragonspawn_sorcerer,Blue Dragonspawn Sorcerer
npc_dota_neutral_centaur_khan,Centaur Khan
npc_dota_neutral_centaur_outrunner,Centaur Outrunner
npc_dota_neutral_dark_troll,Dark Troll
npc_dota_neutral_dark_troll_warlord,Dark Troll Warlord
npc_dota_neutral_elder_jungle_stalker,Elder Jungle Stalker
npc_dota_neutral_enraged_wildkin,Enraged Wildkin
npc_dota_neutral_fel_beast,Fel Beast
npc_dota_neutral_forest_troll_berserker,Forest Troll Berserker
npc_dota_neutral_forest_troll_high_priest,Troll High Priest
npc_dota_neutral_ghost,Ghost
npc_dota_neutral_giant_wolf,Giant Wolf
npc_dota_neutral_gnoll_assassin,Gnoll Assassin
npc_dota_neutral_granite_golem,Granite Golem
npc_dota_neutral_harpy_scout,Harpy Scout
npc_dota_neutral_harpy_storm,Harpy Storm
npc_dota_neutral_jungle_stalker,Jungle Stalker
npc_dota_neutral_kobold,Kobold
npc_dota_neutral_kobold_taskmaster,Kobold Taskmaster
npc_dota_neutral_kobold_tunneler,Kobold Tunneler
npc_dota_neutral_mud_golem,Mud Golem
npc_dota_neutral_ogre_magi,Ogre Magi (Neutral)
npc_dota_neutral_ogre_mauler,Ogre Mauler
npc_dota_neutral_polar_furbolg_champion,Furbolg Champion
npc_dota_neutral_polar_furbolg_ursa_warrior,Furbolg Ursa Warrior
npc_dota_neutral_rock_golem,Rock Golem
npc_dota_neutral_satyr_hellcaller,Satyr Hellcaller
npc_dota_neutral_satyr_soulstealer,Satyr Soulstealer
npc_dota_neutral_satyr_trickster,Satyr Trickster
npc_dota_neutral_small_thunder_lizard,Small Thunder Lizzard
npc_dota_neutral_wildkin,Wildkin
npc_dota_observer_wards,Observer Ward
npc_dota_plasma_field,Plasma Field
npc_dota_pugna_nether_ward_1,Nether Ward (Lv1)
npc_dota_pugna_nether_ward_2,Nether Ward (Lv2)
npc_dota_pugna_nether_ward_3,Nether Ward (Lv3)
npc_dota_pugna_nether_ward_4,Nether Ward (Lv4)
npc_dota_rattletrap_cog,Cog
npc_dota_rattletrap_rocket,Rocket
npc_dota_roshan,Roshan
npc_dota_scout_hawk,Hawk
npc_dota_sentry_wards,Sentry Ward
npc_dota_shadow_shaman_ward_1,Serpent Ward (Lv1)
npc_dota_shadow_shaman_ward_2,Serpent Ward (Lv2)
npc_dota_shadow_shaman_ward_3,Serpent Ward (Lv3)
npc_dota_stormspirit_remnant,Spirit Remnant
npc_dota_templar_assassin_psionic_trap,Psionic Trap
npc_dota_thinker,Thinker (?)
npc_dota_unit_tombstone1,Tombstone (Lv1)
npc_dota_unit_tombstone2,Tombstone (Lv2)
npc_dota_unit_tombstone3,Tombstone (Lv3)
npc_dota_unit_tombstone4,Tombstone (Lv4)
npc_dota_unit_undying_zombie,Zombie (Undying)
npc_dota_units_base,Base unit
npc_dota_venomancer_plague_ward_1,Plague Ward (Lv1)
npc_dota_venomancer_plague_ward_2,Plague Ward (Lv2)
npc_dota_venomancer_plague_ward_3,Plague Ward (Lv3)
npc_dota_venomancer_plague_ward_4,Plague Ward (Lv4)
npc_dota_warlock_golem_1,Golem Lv1
npc_dota_warlock_golem_2,Golem Lv2
npc_dota_warlock_golem_3,Golem Lv3
npc_dota_warlock_golem_scepter_1,Golem Lv1 (Aghanim)
npc_dota_warlock_golem_scepter_2,Golem Lv2 (Aghanim)
npc_dota_warlock_golem_scepter_3,Golem Lv3 (Aghanim)
npc_dota_weaver_swarm,Swarm scarab
npc_dota_witch_doctor_death_ward,Death Ward
obsidian_destroyer_arcane_orb,Arcane Orb
obsidian_destroyer_astral_imprisonment,Astral Imprisonment
obsidian_destroyer_essence_aura,Essence Aura
obsidian_destroyer_sanity_eclipse,Sanity Eclipse
ogre_magi_bloodlust,Bloodlust
ogre_magi_fireblast,Fireblast
ogre_magi_frost_armor,Frost Armor
ogre_magi_ignite,Ignite
ogre_magi_multicast,Multicast
omniknight_degen_aura,Degen Aura
omniknight_guardian_angel,Guardian Angel
omniknight_purification,Purification
omniknight_repel,Repel
phantom_assassin_blur,Blur
phantom_assassin_coup_de_grace,Coup de Grace
phantom_assassin_phantom_strike,Phantom Strike
phantom_assassin_stifling_dagger,Stifling Dagger
phantom_lancer_doppelwalk,Doppelwalk
phantom_lancer_juxtapose,Juxtapose
phantom_lancer_phantom_edge,Phantom Edge
phantom_lancer_spirit_lance,Spirit Lance
polar_furbolg_ursa_warrior_thunder_clap,Thunder Clap (Neutral)
puck_dream_coil,Dream Coil
puck_ethereal_jaunt,Ethereal Jaunt
puck_illusory_orb,Illusory Orb
puck_phase_shift,Phase Shift
puck_waning_rift,Waning Rift
pudge_dismember,Dismember
pudge_flesh_heap,Flesh Heap
pudge_meat_hook,Meat Hook
pudge_rot,Rot
pugna_decrepify,Decrepify
pugna_life_drain,Life Drain
pugna_nether_blast,Nether Blast
pugna_nether_ward,Nether Ward
queenofpain_blink,Blink
queenofpain_scream_of_pain,Scream of Pain
queenofpain_shadow_strike,Shadow Strike
queenofpain_sonic_wave,Sonic Wave
rattletrap_battery_assault,Battery Assault
rattletrap_hookshot,Hookshot
rattletrap_power_cogs,Power Cogs
rattletrap_rocket_flare,Rocket Flare
razor_eye_of_the_storm,Eye of the Storm
razor_plasma_field,Plasma Field
razor_static_link,Static Link
razor_unstable_current,Unstable Current
rest_troll_high_priest_mana_aura,Mana Aura (Troll Priest)
riki_backstab,Backstab
riki_blink_strike,Blink Strike
riki_permanent_invisibility,Permanent Invisibility
riki_smoke_screen,Smoke Screen
roshan_bash,Bash (Roshan)
roshan_devotion,Devotion (Roshan)
roshan_illusion_protection,Illusion Protection (Roshan)
roshan_slam,Roshan Slam
roshan_spell_block,Spell Block (Roshan)
sandking_burrowstrike,Burrowstrike
sandking_caustic_finale,Caustic Finale
sandking_epicenter,Epicenter
sandking_sand_storm,Sand Storm
satyr_hellcaller_shockwave,Shockwave (Satyr)
satyr_hellcaller_unholy_aura,Unholy Aura (Satyr)
satyr_soulstealer_mana_burn,Mana burn (Satyr)
satyr_trickster_purge,Purge (Satyr)
shadow_demon_demonic_purge,Demonic Purge
shadow_demon_disruption,Disruption
shadow_demon_shadow_poison,Shadow Poison
shadow_demon_shadow_poison_release,Shadow Poison Release
shadow_demon_soul_catcher,Soul Catcher
shadow_shaman_ether_shock,Ether Shock
shadow_shaman_mass_serpent_ward,Mass Serpent Ward
shadow_shaman_shackles,Shackles
shadow_shaman_voodoo,Voodoo
silencer_curse_of_the_silent,Curse of the Silent
silencer_glaives_of_wisdom,Glaives of Wisdom
silencer_global_silence,Global Silence
silencer_last_word,Last Word
skeleton_king_critical_strike,Critical Strike (Skel King)
skeleton_king_hellfire_blast,Hellfire Blast
skeleton_king_reincarnation,Reincarnation
skeleton_king_vampiric_aura,Vampiric Aura
slardar_amplify_damage,Amplify Damage
slardar_bash,Bash (Slardar)
slardar_slithereen_crush,Slithereen Crush
slardar_sprint,Sprint
sniper_assassinate,Assassinate
sniper_headshot,Headshot
sniper_shrapnel,Shrapnel
sniper_take_aim,Take Aim
spectre_desolate,Desolate
spectre_dispersion,Dispersion
spectre_haunt,Haunt
spectre_reality,Reality
spectre_spectral_dagger,Spectral Dagger
spirit_breaker_charge_of_darkness,Charge of Darkness
spirit_breaker_empowering_haste,Empowering Haste
spirit_breaker_greater_bash,Greater Bash
spirit_breaker_nether_strike,Nether Strike
storm_spirit_ball_lightning,Ball Lightning
storm_spirit_electric_vortex,Electric Vortex
storm_spirit_overload,Overload (damage)
storm_spirit_static_remnant,Static Remnant
sven_gods_strength,God's Strength
sven_great_cleave,Great Cleave
sven_storm_bolt,Storm Bolt
sven_warcry,War Cry
templar_assassin_meld,Meld
templar_assassin_psi_blades,Psi Blades
templar_assassin_psionic_trap,Psionic Trap
templar_assassin_refraction,Refraction
templar_assassin_self_trap,Self Trap
templar_assassin_trap,Trap
tidehunter_anchor_smash,Anchor Smash
tidehunter_gush,Gush
tidehunter_kraken_shell,Kraken Shell
tidehunter_ravage,Ravage
tinker_heat_seeking_missile,Heat Seeking Missile
tinker_laser,Laser
tinker_march_of_the_machines,March of the Machines
tinker_rearm,Rearm
tiny_avalanche,Avalanche
tiny_craggy_exterior,Craggy Exterior
tiny_grow,Grow
tiny_toss,Toss
tornado_tempest,Tempest
treant_leech_seed,Leech Seed
treant_living_armor,Living Armor
treant_natures_guise,Nature's Guise
treant_overgrowth,Overgrowth
undying_decay,Decay
undying_flesh_golem,Flesh Golem
undying_soul_rip,Soul Rip
undying_tombstone,Tombstone
undying_tombstone_zombie_aura,Zombie Aura
undying_tombstone_zombie_deathstrike,Deathstrike (Zombie)
ursa_earthshock,Earthshock
ursa_enrage,Enrage
ursa_fury_swipes,Fury Swipes
ursa_overpower,Overpower
vengefulspirit_command_aura,Command Aura
vengefulspirit_magic_missile,Magic Missile
vengefulspirit_nether_swap,Nether Swap
vengefulspirit_wave_of_terror,Wave of Terror
venomancer_plague_ward,Plague Ward
venomancer_poison_nova,Poison Nova
venomancer_poison_sting,Poison Sting (Venomancer)
venomancer_venomous_gale,Venomous Gale
viper_corrosive_skin,Corrosive Skin
viper_nethertoxin,NetherToxin
viper_poison_attack,Poison Attack
viper_viper_strike,Viper Strike
warlock_fatal_bonds,Fatal Bonds
warlock_golem_flaming_fists,Golem's Flaming Fists
warlock_golem_permanent_immolation,Golem's Permanent Immolation
warlock_rain_of_chaos,Rain of Chaos
warlock_shadowword,Shadow Word
warlock_upheaval,Upheaval
weaver_geminate_attack,Geminate Attack
weaver_shukuchi,Shukuchi
weaver_the_swarm,The Swarm
weaver_time_lapse,Time Lapse
windrunner_focusfire,Focus Fire
windrunner_powershot,Powershot
windrunner_shackleshot,ShackleShot
windrunner_windrun,Windrun
witch_doctor_death_ward,Death Ward
witch_doctor_maledict,Maledict
witch_doctor_paralyzing_cask,Paralyzing Cask
witch_doctor_voodoo_restoration,Voodoo Restoration
zuus_arc_lightning,Arc Lightning
zuus_lightning_bolt,Lightning Bolt
zuus_static_field,Static Field
zuus_thundergods_wrath,Thundergod's Wrath
modifier_item_bracer,Bracer
modifier_item_gauntlets,Gauntlet
modifier_item_circlet,Circlet of Nobility
modifier_item_slippers,Slippers of Agility
modifier_item_wraith_band,Wraith Band
modifier_item_mantle,Mantle of Intelligence
modifier_item_null_talisman,Null Talisman
modifier_item_boots_of_speed,Boots of Speed
modifier_item_boots_of_travel,Boots of Travel
modifier_item_power_treads,Power Treads
modifier_item_phase_boots,Phase Boots
modifier_item_tranquil_boots,Tranquil Boots
modifier_item_gloves_of_haste,Gloves of Haste
modifier_item_belt_of_strength,Belt of Strength
modifier_item_robe_of_magi,Robe of Magi
modifier_item_boots_of_elves,Boots of Elvenskin
modifier_item_blades_of_attack,Blades of Attack
modifier_item_empty_bottle,Bottle
modifier_item_demon_edge,Demon Edge
modifier_item_eaglehorn,Eaglesong
modifier_item_reaver,Reaver
modifier_item_sacred_relic,Sacred Relic
modifier_item_hyperstone,Hyperstone
modifier_item_ring_of_health,Ring of Health
modifier_item_void_stone,Void Stone
modifier_item_mystic_staff,Mystic Staff
modifier_item_energy_booster,Energy Booster
modifier_item_point_booster,Point Booster
modifier_item_vitality_booster,Vitality Booster
modifier_item_broadsword,Broadsword
modifier_item_quarterstaff,Quarterstaff
modifier_item_claymore,Claymore
modifier_item_ring_of_protection,Ring of Protection
modifier_item_stout_shield,Stout Shield
modifier_item_javelin,Javelin
modifier_item_mithril_hammer,Mithril Hammer
modifier_item_chainmail,Chainmail
modifier_item_helm_of_iron_will,Helm of Iron Will
modifier_item_plate_mail,Plate Mail
modifier_item_quelling_blade,Quelling Blade
modifier_item_ironwood_branch,Iron Branch
modifier_item_ogre_axe,Ogre Club
modifier_item_blade_of_alacrity,Blade of Alacrity
modifier_item_staff_of_wizardry,Staff of Wizardry
modifier_item_ultimate_orb,Ultimate Orb
modifier_item_mask_of_death,Mask of Death
modifier_item_ring_of_regeneration,Ring of Regeneration
modifier_item_blink_dagger,Blink Dagger
modifier_item_sobi_mask,Sage's Mask
modifier_item_gem_of_true_sight,Gem of True Sight
modifier_item_planeswalkers_cloak,Cloak
modifier_item_magic_stick,Magic Stick
modifier_item_magic_wand,Magic Wand
modifier_item_talisman_of_evasion,Talisman of Evasion
modifier_item_ghost_scepter,Ghost Scepter
modifier_item_hand_of_midas,Hand of Midas
modifier_item_oblivion_staff,Oblivion Staff
modifier_item_perseverance,Perseverance
modifier_item_poor_mans_shield,Poor Man's Shield
modifier_item_dustofappearance,Dust of Appearance
modifier_item_buff_ward,Observer Ward
modifier_item_divine_rapier,Divine Rapier
modifier_item_monkey_king_bar,Monkey King Bar
modifier_item_radiance,Radiance
modifier_item_butterfly,Butterfly
modifier_item_greater_crit,Daedalus
modifier_item_cranium_basher,Cranium Basher
modifier_item_abyssal_blade,Abyssal Blade
modifier_item_battlefury,Battlefury
modifier_item_manta_style,Manta Style
modifier_item_lesser_crit,Crystalis
modifier_item_armlet,Armlet
modifier_item_invisibility_edge,Shadow Blade
modifier_item_sheepstick,Scythe of Vyse
modifier_item_orchid_malevolence,Orchid Malevolence
modifier_item_rod_of_atos,Rod of Atos
modifier_item_cyclone,Cyclone
modifier_item_forcestaff,Force Staff
modifier_item_dagon,Dagon
modifier_item_refresherorb,Refresher Orb
modifier_item_ultimate_scepter,Ultimate Scepter
modifier_item_assault,Assault Cuirass
modifier_item_heart,Heart of Tarrasque
modifier_item_black_king_bar,Black King Bar
modifier_item_aegis,Aegis
modifier_item_shivas_guard,Shiva's Guard
modifier_item_bloodstone,Bloodstone
modifier_item_sange,Sange
modifier_item_yasha,Yasha
modifier_item_sange_and_yasha,Sange & Yasha
modifier_item_mask_of_madness,Mask of Madness
modifier_item_sphere,Linken's Sphere
modifier_item_vanguard,Vanguard
modifier_item_blade_mail,Blade Mail
modifier_item_soul_booster,Soul Booster
modifier_item_hood_of_defiance,Hood of Defiance
modifier_item_mekansm,Mekansm
modifier_item_vladmir,Vladmir's Offering
modifier_item_arcane_ring,Arcane Ring
modifier_item_buckler,Buckler
modifier_item_ring_of_basilius,Ring of Basilius
modifier_item_pipe,Pipe of Insight
modifier_item_urn_of_shadows,Urn of Shadows
modifier_item_headdress,Headdress
modifier_item_satanic,Satanic
modifier_item_helm_of_the_dominator,Helm of the Dominator
modifier_item_desolator,Desolator
modifier_item_skadi,Skadi
modifier_item_mjollnir,Mjollnir
modifier_item_maelstrom,Maelstrom
modifier_item_diffusal_blade,Diffusal Blade
modifier_item_ethereal_blade,Ethereal Blade
modifier_item_soul_ring,Soul Ring
modifier_item_necronomicon,Necronomicon
modifier_item_arcane_boots,Arcane Boots
modifier_item_orb_of_venom,Orb of Venom
modifier_item_ancient_janggo,Drums
modifier_item_medallion_of_courage,Medallion Of Courage
modifier_item_veil_of_discord,Veil of Discord
modifier_item_heavens_halberd,Heaven's Halberd
modifier_item_ring_of_aquila,Ring of Aquila
modifier_item_shadow_amulet,Shadow Amulet
